,loss,accuracy,precision,auc,recall,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_accuracy,val_precision,val_auc,val_recall,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives
0,0.6080976128578186,0.6927194595336914,0.0,0.6008424162864685,0.0,0.0,647.0,4.0,283.0,0.4367363154888153,0.6990291476249695,0.0,0.9086021780967712,0.0,0.0,72.0,0.0,31.0
1,0.5670652985572815,0.697002112865448,0.0,0.7190921306610107,0.0,0.0,651.0,0.0,283.0,0.42665576934814453,0.6990291476249695,0.0,0.8785842061042786,0.0,0.0,72.0,0.0,31.0
2,0.47327300906181335,0.7077087759971619,0.692307710647583,0.8343591094017029,0.06360424309968948,18.0,643.0,8.0,265.0,0.3753323554992676,0.844660222530365,0.8947368264198303,0.9269712567329407,0.5483871102333069,17.0,70.0,2.0,14.0
3,0.4876033663749695,0.7880085706710815,0.6421404480934143,0.8185124397277832,0.6784452199935913,192.0,544.0,107.0,91.0,0.36561650037765503,0.893203854560852,0.9166666865348816,0.9314516186714172,0.7096773982048035,22.0,70.0,2.0,9.0
4,0.38994264602661133,0.8394004106521606,0.7269624471664429,0.8894904851913452,0.7526502013206482,213.0,571.0,80.0,70.0,0.40115952491760254,0.8834951519966125,1.0,0.9419803619384766,0.6129032373428345,19.0,72.0,0.0,12.0
5,0.3846615254878998,0.8865096569061279,0.8470588326454163,0.9183642268180847,0.7632508873939514,216.0,612.0,39.0,67.0,0.33894211053848267,0.893203854560852,0.8571428656578064,0.9453405737876892,0.774193525314331,24.0,68.0,4.0,7.0
6,0.35995033383369446,0.8693790435791016,0.7992565035820007,0.9088790416717529,0.7597172856330872,215.0,597.0,54.0,68.0,0.2885659635066986,0.893203854560852,0.8846153616905212,0.9675178527832031,0.7419354915618896,23.0,69.0,3.0,8.0
7,0.33914217352867126,0.8865096569061279,0.8149465918540955,0.9184620380401611,0.8091872930526733,229.0,599.0,52.0,54.0,0.3019830286502838,0.9126213788986206,0.9583333134651184,0.945116400718689,0.7419354915618896,23.0,71.0,1.0,8.0
8,0.33046838641166687,0.8790149688720703,0.8512396812438965,0.9217920303344727,0.7279151678085327,206.0,615.0,36.0,77.0,0.28947925567626953,0.893203854560852,0.8846153616905212,0.933019757270813,0.7419354915618896,23.0,69.0,3.0,8.0
9,0.34559372067451477,0.8736616969108582,0.7915194630622864,0.9055137038230896,0.7915194630622864,224.0,592.0,59.0,59.0,0.24956433475017548,0.9126213788986206,0.9230769276618958,0.9605734348297119,0.774193525314331,24.0,70.0,2.0,7.0
10,0.318017840385437,0.8768736720085144,0.800000011920929,0.9201066493988037,0.7915194630622864,224.0,595.0,56.0,59.0,0.24435874819755554,0.9126213788986206,0.9583333134651184,0.9565412402153015,0.7419354915618896,23.0,71.0,1.0,8.0
11,0.3416164815425873,0.8640257120132446,0.8305084705352783,0.9077879786491394,0.6925795078277588,196.0,611.0,40.0,87.0,0.27644771337509155,0.9223300814628601,1.0,0.9361560344696045,0.7419354915618896,23.0,72.0,0.0,8.0
12,0.3138410449028015,0.881156325340271,0.8282442688941956,0.9240227341651917,0.7667844295501709,217.0,606.0,45.0,66.0,0.31589242815971375,0.893203854560852,0.8846153616905212,0.9424283504486084,0.7419354915618896,23.0,69.0,3.0,8.0
13,0.29210755228996277,0.8907923102378845,0.8441064357757568,0.9362438321113586,0.7844523191452026,222.0,610.0,41.0,61.0,0.23425070941448212,0.9223300814628601,0.9599999785423279,0.9668458700180054,0.774193525314331,24.0,71.0,1.0,7.0
14,0.29879230260849,0.8918629288673401,0.8527131676673889,0.929705798625946,0.7773851752281189,220.0,613.0,38.0,63.0,0.24875658750534058,0.9029126167297363,0.8888888955116272,0.957213282585144,0.774193525314331,24.0,69.0,3.0,7.0
15,0.28954651951789856,0.897216260433197,0.8785424828529358,0.9309977293014526,0.7667844295501709,217.0,621.0,30.0,66.0,0.26104894280433655,0.9223300814628601,1.0,0.9502688646316528,0.7419354915618896,23.0,72.0,0.0,8.0
16,0.3397744596004486,0.8790149688720703,0.7972028255462646,0.9087514281272888,0.8056536912918091,228.0,593.0,58.0,55.0,0.25415539741516113,0.893203854560852,0.8846153616905212,0.9581093788146973,0.7419354915618896,23.0,69.0,3.0,8.0
17,0.2774105370044708,0.900428295135498,0.8598484992980957,0.9380865693092346,0.8021201491355896,227.0,614.0,37.0,56.0,0.21705584228038788,0.9320388436317444,1.0,0.9679659605026245,0.774193525314331,24.0,72.0,0.0,7.0
18,0.28438428044319153,0.8950749635696411,0.833935022354126,0.9372777938842773,0.8162544369697571,231.0,605.0,46.0,52.0,0.2921511232852936,0.9029126167297363,0.9200000166893005,0.9538531303405762,0.7419354915618896,23.0,70.0,2.0,8.0
19,0.27633488178253174,0.8961455821990967,0.8940678238868713,0.9386999607086182,0.7455830574035645,211.0,626.0,25.0,72.0,0.20140190422534943,0.9223300814628601,1.0,0.9724462628364563,0.7419354915618896,23.0,72.0,0.0,8.0
20,0.2709304094314575,0.8886509537696838,0.8713693022727966,0.945468544960022,0.7420494556427002,210.0,620.0,31.0,73.0,0.21925127506256104,0.9126213788986206,0.9583333134651184,0.9668458700180054,0.7419354915618896,23.0,71.0,1.0,8.0
21,0.27778756618499756,0.8993576169013977,0.8593155741691589,0.9388248324394226,0.7985865473747253,226.0,614.0,37.0,57.0,0.24657610058784485,0.9223300814628601,1.0,0.960349440574646,0.7419354915618896,23.0,72.0,0.0,8.0
22,0.2484038770198822,0.9197002053260803,0.9262295365333557,0.9495015144348145,0.7985865473747253,226.0,633.0,18.0,57.0,0.22121493518352509,0.9223300814628601,1.0,0.9726701974868774,0.7419354915618896,23.0,72.0,0.0,8.0
23,0.28428205847740173,0.8940042853355408,0.8650793433189392,0.9385912418365479,0.7703180313110352,218.0,617.0,34.0,65.0,0.21914324164390564,0.9223300814628601,1.0,0.9625895619392395,0.7419354915618896,23.0,72.0,0.0,8.0
24,0.2717995345592499,0.9014989137649536,0.8930041193962097,0.9354893565177917,0.7667844295501709,217.0,625.0,26.0,66.0,0.20982015132904053,0.9223300814628601,1.0,0.9630376100540161,0.7419354915618896,23.0,72.0,0.0,8.0
25,0.3187235891819,0.8704496622085571,0.8240000009536743,0.921254575252533,0.7279151678085327,206.0,607.0,44.0,77.0,0.24553349614143372,0.9223300814628601,1.0,0.9448924660682678,0.7419354915618896,23.0,72.0,0.0,8.0
26,0.27128782868385315,0.900428295135498,0.9025423526763916,0.9397393465042114,0.7526502013206482,213.0,628.0,23.0,70.0,0.20488016307353973,0.9223300814628601,1.0,0.9666218757629395,0.7419354915618896,23.0,72.0,0.0,8.0
27,0.2963462769985199,0.8875802755355835,0.8677685856819153,0.9298524260520935,0.7420494556427002,210.0,619.0,32.0,73.0,0.43951520323753357,0.6990291476249695,0.0,0.958781361579895,0.0,0.0,72.0,0.0,31.0
28,0.26739925146102905,0.9036402702331543,0.9037656784057617,0.940127432346344,0.7632508873939514,216.0,628.0,23.0,67.0,0.21768055856227875,0.9223300814628601,1.0,0.9545250535011292,0.7419354915618896,23.0,72.0,0.0,8.0
